comment,star,likesCount
真的受不了了，知识分子就是这样子生活的吗？一个个不是生活的达观反而都是道貌岸然地伪装。批评界的高评价让我毛骨悚然，难道这就是事实吗？难道这就是当代的一位位大师吗？我到底是生活在什么样的一个虚伪的社会里面？如果被证实一切为真，那这部小说可以给更高的分数。然而此刻我不愿相信。我已经花了那么久读，看到的却是一群道貌岸然的人做跳梁小丑。算了不想读了，大半本过去了，后面还能怎样？,还行,6
茅奖候选作品，学术圈红楼梦。读了一半就恨不得把书撕了，满纸都是不着边际的掉书袋和酸腐文人的呓语，只当是讽刺写法勉强有丢丢价值,较差,3
因为茅奖买的，但是行文太酸腐又咬文嚼字，有种东施效颦的拧巴。,还行,3
哦。,很差,3
读起来确实是优秀的大学小说，然而这几年有点看腻了文科院系小说，不外乎中文系英文系社会学系国际关系系，也不喜欢书中儒学主题。啥时候来个理学院小说啊，有利益的地方就有冲突想必时下最热的人工智能那几位的故事最精彩呢,还行,3
有些描述老派知识分子/理想主义者的片段还是有点动人的。有些情节太像社会新闻拼贴了，有点失望。,还行,4
 作家李洱用一部《应物兄》，实现了对一个时代的回望，一代人正在撤离现场，一代人又在与时彷徨。,力荐,3
没看完，之所以没看完是因为实在是看不下去了。,较差,3
读之可窥国学圈之乱象,还行,2
文科老知识分子的迂腐生活把我给看吐了,较差,3
真真浪费时间！,较差,2
怎么说呢 就是太难看了 自傲又絮叨 读不下去,较差,5
烂就一个字，不说第二次。,很差,2
读不下去了……太无聊了。,还行,2
“我悲哀地望着这一代人，这一代人经过化妆、经过整容，看上去更年轻了，但目光暗淡，不知羞耻，对善恶无动于衷”我看的很难受呀,较差,2
不觉得有什么宏观的架构，不太能读的下去。,还行,2
到处掉书袋，各种影射，然而看了上部并没有看下去的动力,还行,2
跟张柠老师《三城记》一样，只有学者作家才写得出来的展览式小说，你可以直接对号入座，至于那些故意让人看出来的暗示，还是叫明示的好。它是在讽刺在“莫须有先生传”吗？你已经分不清楚哪些是为评论家写的；哪些是作者自己给写进去了；哪些是根本就要恶心人。,,
评论家当然喜欢这种作品，介入现实又巧妙虚构，群像式的人物自己切身生活的环境，不若说是李洱今天请客，把他们都邀来，《应物兄》就是硬菜，然则此类宴席怎可能不醉，一醉就败露知识分子那点“清高”“酸腐”“市场化下的异化”，拿了人好处还装模作样的惺惺作态，你说，怎么不得奖呢？,较差,2
没啥劲,较差,2
读完这本书的时候，办公室聊天的人们刚好说到一句，有点尴尬。是的，这话用来总结这本书真是恰到好处。作者就是设计了一些桥段和套路，为了抖他那些古代文学常识，把整本书编织的密密麻麻，越读到后面越想扔进茅坑里，然后大概自己也编累了，就随便结束了。毕竟这就是一本雷同的一百章，说实话读前面10章还是挺有意思的，可你全部一样的写法，甚至事实是一样的情节，全书也没个魂，就像一个没有魂的傻子每天给你讲内容不同梗相同的笑话，前两天新鲜，后面乏味。黑了一圈各式各样的知识分子方方面面，其实还该黑一下就是为了写个这样的书而写这样书的作者这样的人了。好吧，你写的是挺厉害的，但作为小说实在太糟糕了。再见。,较差,2
烂书！,很差,2
最新消息，《应物兄》获得了茅盾文学奖。呵呵了。,较差,7
我看很多人都在骂，就这种破书就能得茅奖？而且骂书刚出来几个月，就得了奖品，说茅奖成了圆桌会议商量下来的结果。——就冲这句话，就该给三星，乃至四星了。这不就是书中所描写的知识分子与商政是如何的“众生相”吗！别忘了，作者的身份啊！这种小说本身的烂，和小说在现实中所受的礼遇，形成了一个整体，真特么是伟大的作品啊。,还行,3
觉得些许浪费时间,还行,6
阅读的体验堪比在品尝老男人的口水味,很差,2
只读了1/5，实在读不下去了。恐怕，不能给茅奖吧……,较差,4
啰嗦乏味之程度让人怀疑陀思妥耶夫斯基与茅盾先生的亲缘关系 想问水军一本书多少钱 拉我进群谢谢,较差,2
不推荐。前三分之一如同浩瀚星图，人物关系网庞大、阅读感顺畅，非常吸引，果断下单买回家。结果越看越不知所云，絮絮叨叨、没有重点、无主题，究竟写什么？写儒学？写生物？写动物？乱七八糟，您这是写应物兄？无数次想弃书，后100页草草结束。浪费3周时间阅读，太后悔买此书。,很差,2
读了三四十页吧，果断放弃。也是因为刚出来那会，吹捧得多了，有注意到。读起来实在没有太吸引人的地方。还有他的那部，德国总理推荐的什么石榴树下结樱桃，也是很糟糕，写农村，却没有丝毫农村的感觉。李洱这人我算是路过了，拜。,较差,6
言语风趣幽默，人物形象鲜明，挺不错的。,力荐,6
文坛年度强推之耻。,None,2
早就看完了，一直想憋一个长评，憋不出来，太难评价这本书了。,,
挺失望的是，豆瓣的书评区已经沦为了一个情绪的发泄处。私以为，你可以喜欢这本书，也可以讨厌这本书，但请务必给出你的具体理由，而不是简单一句“喜欢这本书的人要么收钱要么傻逼”就完事儿。,,
说一个比较有意思的小细节吧，很多人质疑说本书所谓“写作十三年”不过是一个营销噱头，写作时长与小说质量并无关联。不知你们是否注意到，小说一上来，在兽医院的那场戏里，便出现了“微信”这个事物。由此观之，作为一部致力于呈现中国当代断代史的作品，所谓“写作十三年”，是不是一个非常重要的补充信息呢？,推荐,4
 读过研究生或者在高校从业的都会懂～～～很熟悉的生态～故事流畅～风格有些幽默，看的时候挺爽的，作者抖了一手好包袱，可惜读完之后留给人思考的部分没有。 用时十三年打磨成这样还是有点遗憾的,推荐,2
打两星吧，毕竟写了13年。作者没有的气度我要有...,较差,6
作者卖弄知识的地方太多，为了显示自己的博学，给宠物店员工拔高到硕士学历，还聊起比熊和串的区别，扯到孔子关于"恕""的议论，脱离现实到令人发指的程度。这种情节是凑字数来的吗？有什么意义？只要凑够三本书容量，不管写得多么浅薄自恋，都能获奖？毕竟80万字呐,很差,3
想了很久这种怪味人生哲学究竟为何有种熟悉感...大概是故事会吧。,较差,2
《花腔》仍然是高峰。,推荐,5
2020年第12周 《应物兄》作者：李洱 读书短评：历时十三年，九十万字，李洱说我尽力了。讲的是象牙塔里的故事，嘴上说的都是孔孟之道，身体力行却是蝇营狗苟，所以读起来非常拧巴。苦劳肯定是有的，不断旁征博引，但读起来就有掉书袋之感，加上故事性不强，情节拖沓，不断有与主线无关的人物和枯燥剧情乱入，感觉是一部名不副实的作品。同是茅盾文学奖作品，与阿来的《尘埃落定》有云泥之别。另外，为了显示知识渊博而寻章摘句，反而暴露了人物思想的浅薄。人物命名上，七十岁多的老太太叫芸娘，五十岁的中年大叔叫文儿，怎么读怎么像叶良辰，完全喜欢不起来。纯文学作品也是文学作品，可读性丧失了还有什么价值可言？,较差,2
啥叫文学经验呢。。,较差,2
-20190526。越读越疑心，这是不比着红楼写的啊。原本也还行，但一比就坏了。讽刺的地方越了界，悲伤的地方又不够劲，掉过的书袋有些变成地上的垃圾袋。嗯，但从中学习了国学。,还行,2
看评论两极分化严重,还行,2
名不副实,还行,2
泛善可陈,还行,2
味如嚼蜡……,较差,2
这也叫书?简直垃圾，就凑字数的一本智障小说，一星也不想给，看了几万字，文笔烂就不说了，还没个主题思想，总之很垃圾,很差,2
这本书的幽默，和春晚上所谓的幽默是一类的。,还行,2
自嗨,较差,2
断断续续四个多月，多少次想放弃扔回书架却又不甘心地翻开，我太难了。首先，李洱的知识面之广令人咋舌，儒学、哲学、佛学、昆虫学信手拈来，学界、政界、商界、宠物界游刃有余。其次，作为长篇来说真的不好看，作者想到哪里就写到哪里，没有一个吸引人的明确的故事主线来串联这84万字，就像是一锅没有加底料的火锅，看起来五花八门，但尝起来真的没有味道。再次，随心所欲的人称转换真的看得人头疼，美其名曰以第三人称来谈自己，但，你连故事都讲不好，还“要什么自行车”？第四，混乱的叙事顺序十分劝退，插叙、补叙、追叙都是使文章跌宕起伏的方式，但物极必反，用得多了就打乱了完整的叙事链，看得想打人。最后，对女权意识较浓厚的读者十分不友好。所以，就别碰瓷《围城》甚至《儒林外史》了，差太远，能获得茅奖已经对知识分子最后的挽尊了。,还行,3
杀了我吧，茅盾文学奖。,较差,1
这是新年礼物，很厚重，很扎实。用13年做一件事，很不容易。李洱在后记里情真意切，回顾了心酸的创作历程，从遭遇车祸意外到母亲溘然长逝，接二连三的打击，无疑让他对于人世间对于生老病死对于价值意义，有了打碎和重建，这是一个漫长的过程。他倾注了心力，由学术圈展开，将政界，商界，学界纳入了他的话语体系和思想系统。他的开篇是相当有野心的，以横亘古今的儒学为经脉，审视着东西方的哲学，用各色人物完成了自我叙述和表达，又统合在一个完备的思想体系之中。他的很多人物都具有坐标，样本和实验性。使得那种关照，很具有当代知识分子群像的味道。他能够从全球视野看待中国问题，能够从城乡东西等二元结构探寻权利关系，更重要的是，应物兄，作为核心主人公，当代知识分子对于名利，情感，欲望的真实焦虑，他忌惮的秘密很多人都存在，不是么,推荐,5
花了十三年写出来，只能说很平庸。,还行,1
理论界非常需要的一部实践理论演绎的小说。结果就是，实践是艰难困苦的。读了五十页，先不读了。补：只想问，批评界还有真正的批评吗？,较差,1
那个年代中文系毕业生的哲学素养，这个年代高校教师专业作家的职业操守。别的不说，编辑错误还是有的。,还行,1
该不该读？该，都得奖了。可不可读？尚可，讲故事不合格，传情达意没问题。是否杰作？两说着，各人各心了，花了巨长的时间写了巨长得了巨奖都不是杰作的充要条件，如果非要拿《围城》甚至《废都》作比较，那起码得有旧作的几分样子，从现在这个完成度看来，应该连作者本人都没企望过。能不能评？能，但各种花吹就算了，在一部小说里炫学是没问题的，但不能指望在一个故事里用学问压制读者，这几乎相当于自爆。其实没看内容前，听到书名，还以为要把韦应物之类旧人旧事旧学问旧经典迁延在当代时空中，那想必很有趣。看过内容才知道，居然全无此种野心，甚觉可惜。最后不太厚道地说，二百万字删成九十万还是不够狠，删成九万先出一卷可能会在可读性和需要传达的内容之间找到一个平衡。十三年就不是急就章了吗？未必。,还行,1
很一般，说实话，看完我都不知道作者想表达什么？,较差,4
这本书以非常絮叨的方式，不断聒噪着一种恐惧：“死亡终将带走一切”。读这本书，你会有一种生理的不适。就是这样一本丧得要死的书，却能获主旋律的茅奖，真是太讽刺了。对死亡的恐惧，来自活得无意义。这本书反复铺陈那种把盛世、权力、美食、美色——总之世界上最好的身外之物全都耗尽之后，仍然免不了堕入巨大空虚的虚无主义写得让人特别生厌，而且不管哪种宗教，都拯救不了这终将堕落的世道。但它不是萨特《恶心》或者加缪《局外人》那种丧法，因为它失去了美学的效果。李洱在跋言中说这部90万字小说的初稿更长，有200万字。我相信李洱已经尽力了，但越是如此，越说明了一个问题：在整个世界都堕落的时候，文学本来是绝不能跟着下坠的。但《应物兄》不是，正如那句被写在封面上的话：与时迁移，应物变化。欲盖弥彰。李洱这个人的精气神，散了。,还行,1
就……读起来还是挺痛快的吧。大学堂之丰富多彩，连区区不才在下我一个不交游的小学生，几年来也颇听说了几条八卦的。,None,1
有点啰嗦，有点酸腐，不喜欢,还行,1
我以为繁花说话没有标点符号读起来已经很费劲了 这个说话有标点符号却描述的如此混乱。插叙的分界点非常不明显 看的云里雾里的。言语啰嗦。,较差,1
菜是好的，但同一道菜吃久了就觉得一般了。高校题材撑不起长篇巨制，若是删去三分之一会很好，但那样又拿不到茅奖了。,,
更像是随时想到就记下来的文人笔记，可能是13年已经磨灭了对这不长篇的热情了,推荐,1
从后半部分开始，书中有好些人物以第三人称来称呼自己，不知何意。,力荐,4
没看完没有发言权，文人写作。,还行,1
可能是我没看懂吧，但真的就只能打两星了,较差,1
选修课中文系老师推荐的，我实在是读不下去……可能书里高校文史哲教师的生活离我过于遥远，读不懂作者埋的梗。不过我理解为什么他会喜欢……隔行如隔山,还行,1
太凌乱了，文人的上流世界，离我好远，看不懂，看不透，接触不到，思想境界达不到。,较差,1
ok 读了 ,很差,1
李洱大牛！这大概是我花最多时间收获最少的一本小说了，收获少不是因为给的太少，而是给的太多太深，完全消化不了。其实，他所描述的人文背景是我熟悉的。大学、出版社，他所描述的人物我也不陌生，大儒，学术大咖，这些年，也接触过一些国内的大儒，以及在国外比较有名气的儒学家。作为编辑，对学术专家的生存环境也略知一二。可是，你翻开就知道了，里面有太多的传统文化知识，连一条狗的名字，都会有典籍的出处。人们说，掉书袋，一点没错。我在想，如果传统文化学养与作者匹敌的人读这本书是什么感觉，是会心一笑，还是不以为然？除了太多的知识点，我够不着以外，别的，比如人与人之间相处的道理，人的心理，还有不少幽默，我想我是get到一些。“芸娘最喜欢芸香，她没起芸香，是要把这个名字留给女儿，尽管她没有女儿”，这句话戳中我了,力荐,1
后半部差了一点儿,推荐,1
刚刚读完，这条孙二娘的裹脚布=_=,较差,2
太长了太长了！！怎么能有废话这么多的书啊！！我为什么要花这么多时间在一本评分这么低的书上啊！！而且还没看完！我气！,,
济州就是济南吧,None,1
唉 不能给零星,很差,5
三星半，能不能说是本好书？我觉得应该算，里面的大吃大喝、曲意逢迎、含沙射影、指鹿为马真实的像是魔幻主义。但，我个人喜不喜欢，不喜欢。特别是第一本，人物比较多像是漩涡，应物兄就是中心，不断卷入其他的人物。人物越来越多，关系越来越复杂，织成了错综复杂的人情关系网。又因为程济世的到来，更为复杂的名利关系都牵扯其中。算是勾心斗角，净是前倨后恭。还好，第二本随着老一代知识分子的离去——在书里死去的人要更可爱一些，倒是有了滋味，特别是灯儿，何为，芸娘，五更头和子房先生的一点，更是让人心存希望。,还行,1
学儒学的应物兄实在是太过掉书袋，让人觉得不可爱的那种，只觉得书里有很多令人难懂的文言文，相比之下贾平凹的《废都》好像还更令人血脉贲张一点，尤其是废都的语言，那种繁复的意象搭配古城背景仿佛在抚摸旧世家里落寞的锦缎。,,
说到知识分子群像，《围城》是绕不过去的一本书，《应物兄》仿佛有想要超过围城的野望，可惜到底是成了折翼的鸟人，围城一书的氛围比应物兄好多了，而且那些抖机灵的段子实在经典而又生动，更何况方鸿渐还算个文学青年有时显得还挺可爱，而应物兄真的浸染在名利场里太久了，真的看起来像条狗，也不知道会有谁能get到这个人物的可爱点。如今除了文学青年，还有多少人愿意去看一本小说呢？尤其还是一本正经向的小说。,很差,1
呃，俗气的我读这本书全靠着期待下流段落，但还是在上海书城看睡着了……,还行,1
给我的感受是“原来一直努力十三年也不见得会写出什么好的文字”,,
写作还是要靠天赋，写不出好的硬写也只会是平平常常。,还行,1
作者真是把自己的无聊和啰嗦强加给学者们了。,较差,1
要当文学家，不要当文痞。文学不是请客吃饭，更不是耍流氓。,较差,1
花了一个月时间读完，读完像过了一生。书中人物走马灯似的闹哄哄你方唱罢我登场，常伴左右的，尽是蝇营狗苟之辈。着墨不多的那几个，却有着高贵的人格的品质。主角应物兄是个扁平人物，你可以说他不以物喜不以己悲，也可以说他中庸。以他的视角，展示知识分子群像，用辛辣讽刺的笔墨，多是丑陋，鲜有闪光。,,
不足之处也有，一是篇幅太过冗长，二是偶尔刻意讽刺反而显得无聊。,,
象牙塔本身是个戏台，演完了就落幕，每一个人的命运，都忽喇喇似大厦倾。全书翻完，唯有唏嘘不已。 ,推荐,0
None,推荐,0
只有掉书袋，毫无文学性,很差,1
啥破玩意儿？？？读了三分之一实在读不进去了，想搞当代儒林外史《废都》了解一下，虽然多年之后我已经忘了里边的具体情节，但是那天半夜看完最后一页之后心里的沉重和压抑让我印象很深。相比之下，《应物兄》实在是面目模糊，节奏拖沓，想刺痛的全打空。其实翻来第一页看到作者简介和开篇一顿猛夸，我就应该知道会是这样。一个不够坦诚，不想暴露脆弱和困惑的作家，怎么可能写出好东西。,较差,3
1. 读起来有一种作者试图把围城的小机灵段子填进昆德拉的弱情节弱人物散漫间杂掉书袋体之中但并不是太成功的感觉。 2.也并不是中国的斯通纳，斯通纳是讲学院的，这是讲市井的。当然这不怪作者，中国的学院本来就是市井。,还行,1
看不懂知识分子在干什么。记住的细节是，应物兄的胸怀真宽广，老婆跟邻居搞事情还能原谅两人。,较差,2
无聊至极,很差,6
等了半年，今晨读完。言犹未尽，曲散人在。人情世态，不过尔耳,力荐,4
一群高级知识份子唠臭氧层子嗑，写臭氧层子书，干臭氧层子事。,,
若是将此书跟红楼梦金瓶梅比自是不如，本书倒更接近夏目漱石的《我是猫》，不同之处在于我是猫讽刺的是小知识分子，本书写得则是这个国家最顶尖的那群知识分子。,推荐,1
读到70%，实在读不下去了，不是不好，而是…呃，嗯，我都看厌倦了，这书里的人活得还不够厌倦么,还行,1
上还能读，,,
下完全读不进去。,,
讲的是知识分子，,,
可没啥意思，,,
也许知识分子也没啥意思。,还行,1
开头很惊艳，后面就逐渐变得无聊起来。并且来说，后面还有一卷呢！,推荐,0
胡向东老师在《应物兄》出版后便着迷的花了两三天时间看完了，并在班上推荐，当时苦于书价过高，一直寻找电子资源，微信读书一上架。便开始读，完全没有老师介绍的那么引人入胜，甚至有些读不下去，我以为是我的问题，看了豆瓣一致的差评，才觉得小说的确没有那么成功，胡向东老师喜欢或许他处于小说所描写的圈子里，或许有些共鸣，但我觉得豆瓣的评分是高于这本小说实际的阅读价值的，还不如看我的《钱学森传》……,较差,2
有一说一，没宣传的那么好！,较差,2
看完就是浪费时间，小说内容写的就是杂记，茅奖就这,还行,1
学习经史子集的叙述方式,,
可 既没有如经史子集般的故事,,
文笔也不如经史子集似的优秀,较差,2
  看了一半，啰啰嗦嗦掉书袋，不明白13年就写这样，也许我们领悟能力太差。,推荐,1
听说获奖了？？？,还行,1
脑壳痛 一年多终于看完 看完下 已经忘了上 文史文博爱好者住村里的可能喜欢书中的风土人情吧,推荐,1
拖沓,None,0
上册有余暇，填了不少段子；下册绷得紧，猛塞各种窟窿。所谓浩瀚时代星图，终归架不住斗转星移。望远镜能捕捉到的，皆是往昔的星空。令人动容的片段，已然沉没于此。,较差,0
2019.10.22—12.4，贵池—星沙。,推荐,0
喜欢,力荐,0
需要读很多遍的小说，越读越觉得好,力荐,0
终于看完。,,
这本书很长很长。,,
长到看到后面就差点忘了前面。,,
有空还是要再看一遍。,还行,0
2020年的第1本书。,,
李洱在写作时一定明白这本书是小众的，排外的。甚至我作为读者会觉得，他根本不希冀读者能够理解他，只希望读者能够追随他。,,
行文过程中抖落一点博学的痕迹当然赏心悦目，但拼命掉书袋又是另一回事。这本书更像是冷门的科普读物。主人公应物兄或许懂得“过犹不及”，但作者可能忘了。,还行,0
不推荐,较差,1
后半乏力,推荐,0
放在床头，断断续续读完。太严肃的人不适合读，一盘散沙嘛。,,
特点是生活细节和人物关系真实，同时跨越时空，加入很多荒诞。形成了一盘很特殊的蛋炒饭。作者的抱负不在于文学，毕竟文学解决不了任何问题。故意的慵懒，成了半真半假的一部当代史。,推荐,0
2018年底，在苏州街报亭翻杂志时，第一次看到这部小说，第一印象是有点故弄玄虚。5月1日傍晚，在李宗陶写马原的文章里看到李洱，发现他是河南济源人，因为去过济源，所以对他起了兴趣，当即找出这部小说，读完开头四章，愿意继续读下去。我喜欢这种写知识分子与当下时代之间张力的题材。假期四五天主要就是读这本小说了。毛病很明显：语言啰嗦枝蔓，作者忍不住无节制地卖弄知识点，还有个别不太合理处。但我读书少，总体感觉，这是一部很好的小说，近乎当代儒林外史。与格非的春尽江南相比，胜在人物关系和故事情节的深入繁杂，不止写出学术圈中人的无奈和无耻，也带出了更丰富的面向；差在语言的简洁准确。20200505,推荐,0
阅读体验很复杂。看开头觉得就是胡闹，尤其主角嘴里被塞上卫生纸那段，真实的知识分子可能更龌龊，但这种糟践的写法实在过于轻佻，内心很不喜。往后看，逐渐一点点扳回来了，学界的门道吃得很透，到底比阎连科的疯魔强。可虽有《花腔》的葛任跟当代知识分子互文，主题并不复杂，人物刻画不沉，砍了四十万字仍然显水。看到1/3处，知识分子应酬敷演，突然品出了古白话的味道，节奏一下子显得从容舒展许多。再往后，每到主角夫子自道和回忆往事，那股气就又遗憾地软塌塌泄下去。《儒林》和《围城》不可得兼，再说《围城》写人笔墨也很经济。能有点儿理解为什么给茅盾，尤其倒数十来章回光返照，虽然有点儿矫情，但芸娘和文德能多少有点儿杜少卿挽歌的意思。我还是更怀念《花腔》的李洱。,还行,0
虚几应物，恕而后行。,推荐,0
暗喻和典故都没什么障碍，写丧家犬的李零，心得的于丹，易中天都出现了，本来以为是暗讽，跳着看又好像不是，不太好看，也找不到继续阅读下去的理由，人物众多也只是陷在泥藻里，事情情节也没个取舍，像夏天午睡时没完没了的蝉鸣。,None,0
七分吧，前半部分其实蛮合我的胃口，但之后的文字就开始抗拒我的阅读。,推荐,0
这个时代知识分子的虚无主义,还行,0
写知识，是写思想，或者说，是知识\思想遭遇真实时的乱象，是应物还是执道？所谓“拟态”，不宜以其视为反讽，是在二元对立之外或之间，去“正面强攻”，去求解的,力荐,0
掉书袋太过了，人物刻画少了,还行,0
狗屁不通,还行,3
文学的美感没有展开，讽刺的深度隔靴搔痒，故事性也比较一般,还行,3
知识分子，及当代人的无力感被时代裹挟,推荐,0
杰作，必成经典。单看书名，又是先锋小说，本以为会晦涩难懂，没想到那么好看。不仅文字好，寓意深刻，跟之前作品相比，超前迈了很大一步。应物兄的境遇，值得同情，令人深思。非常喜欢这部皇皇巨著，茅盾文学奖受之无愧。,力荐,0
虚已应物，恕而后行。,推荐,0
展示了作者对儒学的理解，各种有趣细节也不少。不过，高校里怎么回事作者理解和掌握不够深刻，也没有啥触动。可以翻翻看。,还行,0
#83，从大佬要回国写起，挖人开办国学研究院，后面的向未开办的国学研究院塞人，为了大佬的喜好大兴土木的做文章，可却不是做真的文章，只是为了给旧城改造找一个好的理由。总体而言小说还是长了点，如果可以做到精简点，将更加好看。,推荐,0
这是有辱斯文的儒林，还是与时偕行的中庸之道？与其说是济州大学界犹存的斯文，不如说是经济大潮裹挟的文坛悲哀。,,
如果我不是此时此境，恐怕是不会读完的，并不是说浮躁，也不是说敷衍，而是意外发现文本对于感情这东西的危机处理，原就不是局外人所能熟稔于心的，恰好算是比较方便的补课，也算是自我批判的建设意识。,,
最后在应物兄在棚户区的找到程家大院遗址和仁德丸子的制作人曲灯这一段意外惊喜使得全文翻转了，从围绕迎接海外大儒程济世归国而规划筹建“太和研究院”的济州城市建设投资宏图，变成了一波又一波知识分子的人生荒诞无稽风俗画。,还行,0
“丧家犬也有乡愁”，这些知识分子的“根”在哪里？,还行,0
毕业那几天重看了遍,还行,0
涉及写知识分子的，我都有兴趣,力荐,0
应物兄“第二自我”的声音在全书开头是最响亮的，最自信的。随着小说的进程，这个声音逐渐被各种各样丑陋的声音淹没，变得越来越微不足道。太和研究院的建设过程就是学术自律性逐渐死亡的过程，也是知识分子主体性变得越来越渺小卑微的过程。然而，这个过程也正是通过文学、哲学、史学、社会学、经济学、生物学等学科的话语来进行的反讽叙事。这种巧妙的写法使这部小说注定是一本不落俗套的小说。但是问题也并非没有。感觉作者到后半部对情节的经营变得不那么用心了，给人一种明显的后程乏力感。诸多牛鬼蛇神如栾庭玉、葛道宏等人的结局设计有些过于突兀，而程济世的形象塑造到后面也变得有些单薄了。这就使主题不够鲜明，甚至有些含混。不过总体而言，这是一部不错的小说。,推荐,0
围绕建立太和研究院，请儒学大师程先生回国这条线索，从应物兄岳父乔木先生的京巴狗木瓜生病写起，到应物兄出车祸却依然活着为止，展开一幅丰富多彩的当代社会生活的长卷图画,推荐,0
一直想弃读不过还是看完了。花十三年就写了个这？除了最后浮现的野生济哥，真正的程家大院还有灯和仁德丸子，前面的各种引经据典连那碗羊杂碎都不如，越看越难过。想尽讽刺笑骂之能事却没有那么入木。最后的结局也是莫名其妙。,还行,0
李洱野心很大，弄出这么一部煌煌巨著，内容有深度且知识面广泛，把这代的知识分子描写得透彻。包含的一些这些年的社会事件也挺有趣。但是如果真的把他比作当代的《围城》，又少了很多辛辣。,力荐,0
这个世界太乱#,推荐,0
当代的作家虽然活在当代但却写不好当代，无论是荒诞的、挣扎的、渴望的…拿着镜子反照生活，投映出来的却是刺眼的光斑。,还行,1
展现了当代文人的一些样子，不知是真实的还是臆想的。全书很长，读下来花了不少时间，结局没大看明白.... ,推荐,0
光是诙谐乃至戏谑的对话就足够精彩。,力荐,5
如果强行拿《应物兄》和评论家们所鼓吹“可与之比肩”的《镜花缘》、《儒林外史》（“几代作家向《红楼梦》致敬的重要收获”这种蠢话就不要提了）相比，那也只有一点类似：后半部完全垮掉。李洱更像他笔下由研究鲁迅转型到儒学的郑树森，从先锋派强行转向传统文学，叙述角度变幻过滥、无意义的意象描写等种种先锋派滥觞叠加上刻意的传统文学白描，导致文字间割裂感俯仰皆是。掉书袋与讽谑且不说和默存老去比，即便和张大春相比也差出许多。其实李洱的观点我是认可的，中国文学的发展方向在于对传统文学的继承和发展，而非对着西方文学流派邯郸学步，可问题在于，继承都还没继承下来，还谈何发展？三星嫌低，四星嫌高，给个三星半吧。,还行,0
作者为揭露文学类还有官场的荒诞，讲述的故事还是非常好的，但故事絮絮叨叨，写的乱七八糟，只有刚开始那段还有点意思，后面都不知道写的啥，作品好坏各一半，有荒诞性，也有现实性，不得不说，作者13年来到底也就写了这样的作品了,还行,0
徐老师推荐，于是找来读读。历经一周累计9小时读完了。书中的隐喻有些似懂非懂，对知识分子的刻画或者说对教育业从业者的刻画很深刻，让我想到了另一本闫真的书《沧浪之水》。《应物兄》更多地引经据典，好多都没听过的孔子治学箴言及歇后语，也从另一个角度说明了社会环境对知识界的影响。,还行,0
一半是写给学院派看的各种暗号暗语，一半像是黑幕文学。,较差,0
上，冗长，端着架子的知识分子连吃个饭喝个茶都麻烦。,,
下，明朗，所有的伏笔都有结局，自然又妥帖。,,
应物而生。,力荐,0
看完上一本，没兴趣看下一本了。弃了,还行,0
非常独特的命名了现代性的新经验，需要读者在解读中花大功夫，最后获得智性的快乐，而不只是故事的快乐。,推荐,0
假作真时真亦假，无为有处有还无,推荐,0
很好，居然有点舍不得看完……,力荐,0
乱而迂腐。,还行,1
如果我是《应物兄》的编辑，我会让作者从八十四多万字的内容删掉一两万字，那些他以为是闲笔不闲的设计，实际上是废笔的荤段子。,,
大哥，你的简介说这是讲应物兄筹备儒学研究院的故事，可是，你老是加那么多旁枝末节干嘛，主线在哪里，看了快一百页了，程济世这个对儒学研究院具有重要意义的人物，还没正式请出场。,,
杀了我吧，茅盾文学奖[皱眉],还行,0
None,较差,0
这是个什么玩意儿！,,
除了揭露式的八卦影射，没有更多的阅读快感，用知识包裹肮脏，叙述和故事会同一个层次。生气。,较差,0
过眼。,None,0
6.20。当代儒林名利场。,推荐,0
不算读过，但读着有点没意思,还行,0
太长了就有点索然无味,推荐,0
看完了，当代知识分子的讽刺喜剧！,推荐,2
欲戴皇冠必承其重，一个人的责任和义务是相对的,力荐,3
比李洱之前的作品好。,推荐,1
说心里话，刚开始读前几章，很顺畅亲切，他写的知识分子生活让我想起母校，之后便挣扎到底要不要继续读了……平心而论，李洱的确设下了某种野心版图，但也仅限于此。没有注入同等质量的心跳。这是一本专门写给评论家，以至于可以让评论家借题发挥自己理论知识的小说。所以评论界对它评价高我一点也不奇怪。我觉得李洱是站在当代文学理论发展脉络的节点上写了这本书，如果一件作品完全符合所在领域的理论和趣味需要，那么艺术价值就有点可疑。因为根据海因里希伯尔的话，上帝和诗就存在于万事俱备之后的那一点误差之中。李洱写的真是一点误差也没有，他简直太清楚自己要什么写什么。他细枝末节地全权控制着他的文本和人物来完成一种雄心，但是那部分文本之外的作者无法控制的意外美丽，却像氧气一样，被李洱的真空包装抽离了。,还行,290
我很好奇一个知名作家为什么像是有自卑症般看到什么写什么，这就等于吃多少拉多少一样，实际上就是消化不良。十三年，九十万字，没有一样是伟大文学的保证。相反，它们标志着不祥：时间太久，叙事太拖沓，很多处无意义的细节描写和掉书袋、劣质戏访、假辩证，对女性还缺少尊重，还吹捧成了当代知识分子的群像。如果真有那么一部小说，就应该把这个两卷本的破玩意写进去讽刺讽刺。李洱的《应物兄》和李陀的《无名指》，一个穷讲究，一个不许讲究，这才是让人啧啧称奇的文学现实。,较差,205
